id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54045412,Helles Appartement in Altbauwohnung,28018732,Bernhard,,Untergiesing-Harlaching,48.106525,11.576954,Entire home/apt,62,2,19,2022-06-08,3.80,1,34,19,
54048343,"Beautifully bright, tranquil apartment - central",801804,Josefine,,Au-Haidhausen,48.12365,11.59146,Private room,45,28,0,,,1,83,0,
54051573,Gemütliche Wohnung in München  - Schwabing,207590102,Cédric,,Schwabing-Freimann,48.16645,11.58415,Entire home/apt,41,112,0,,,1,226,0,
54060863,Lovely Studio in Glockenbach - central and quiet,5733195,Christine,,Altstadt-Lehel,48.13249,11.57088,Entire home/apt,100,28,2,2022-06-01,0.53,2,141,2,
54079060,60qm Wohnung direkt an der Isar & im glockenbach,22871787,Jennifer,,Ludwigsvorstadt-Isarvorstadt,48.12751,11.57162,Entire home/apt,150,30,0,,,2,190,0,
54100926,Private room in a shared apartment,148342991,Robin,,Ramersdorf-Perlach,48.10977,11.61335,Private room,21,21,0,,,1,54,0,
54101124,Wunderschöne 4 Zimmer Wohnung mit Balkon (100 qm),176605360,Franziska,,Neuhausen-Nymphenburg,48.15649,11.54531,Entire home/apt,80,120,0,,,1,153,0,
54102633,Schöne Eigentumswohnung mit Blick über München,438553968,Benedikt,,Bogenhausen,48.17344,11.63631,Entire home/apt,29,3,6,2022-05-24,1.07,1,1,6,
54103637,Newly refurbished 1-bedroom apartment!,26851384,Jill,,Milbertshofen-Am Hart,48.18369,11.57815,Entire home/apt,50,2,0,,,1,1,0,
54105887,Renovated Studio Altperlach 20qm,435309467,Lisa,,Ramersdorf-Perlach,48.100677,11.630885,Entire home/apt,43,30,3,2022-05-15,0.60,2,175,3,
54116929,Gemütliche 2 Zimmer Gartenwohnung in Obergiesing,52663121,Johannes,,Obergiesing,48.10661,11.58249,Entire home/apt,80,6,2,2022-02-07,0.39,1,59,2,
54121366,Wunderschöne zwei Zimmerwohnung in München.,299657243,Dominik,,Neuhausen-Nymphenburg,48.14715,11.54015,Entire home/apt,90,7,1,2022-03-31,0.36,1,271,1,
54152630,myMINGA Apartment with Kitchenette | 28+ nights,434055750,MyMINGA,,Ludwigsvorstadt-Isarvorstadt,48.13184,11.564453,Private room,55,28,0,,,14,298,0,
54153547,Design Apartment fußläufig 5min zu U-Bahn und Isar,439040543,Hichem,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10303,11.54312,Private room,84,14,1,2022-06-06,1,4,302,1,
54154651,"Design Wohnung 2 Schlafzimmer, U-Bahn und Isar",439040543,Hichem,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10304,11.54167,Entire home/apt,100,14,1,2022-03-14,0.30,4,288,1,
54164000,Standard Dreibettzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,322,1,0,,,26,214,0,
54172195,"In the heart of Munich, Maxvorstadt",418121769,Beate,,Maxvorstadt,48.14903,11.56162,Entire home/apt,191,2,4,2022-06-12,0.89,1,74,4,
54178180,Standard Zweibettzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,282,1,0,,,26,299,0,
54178347,Standard Doppelzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.1367,11.55938,Private room,282,1,1,2022-05-10,0.70,26,256,1,
54178767,Standard Einzelzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,282,1,0,,,26,0,0,
54178975,Superior Einzelzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,257,1,0,,,26,323,0,
54179153,Superior Doppelzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,297,1,0,,,26,301,0,
54179385,Superior Zweibettzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,297,1,0,,,26,304,0,
54179540,Superior Dreibettzimmer inkl. Frühstück vom Buffet,395880389,Boutique Hotel Germania,,Ludwigsvorstadt-Isarvorstadt,48.137646,11.560234,Private room,336,1,0,,,26,298,0,
